*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Prototype
*Date=12:16:59
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;63.6906;-44.8681;0;Bottom;Copper Fill234
103;;;54.8387;-1.71337;0;Bottom;Copper Fill208
104;;;54.8387;-51.7769;0;Bottom;Copper Fill103
105;;;40.8306;-33.9715;0;Bottom;Copper Fill213
106;;;58.6559;-7.69686;0;Bottom;Via8
107;;;40.8306;-32.3459;0;Bottom;Copper Fill126
108;;;49.7587;-51.7769;0;Bottom;Copper Fill101
109;;;32.0295;-16.6994;0;Bottom;Copper Fill188
110;;;59.9187;-51.7769;0;Bottom;Copper Fill163
111;;;25.0953;-5.23127;0;Bottom;Copper Fill146
112;;;8.7376;-13.5498;0;Bottom;Copper Fill192
113;10k;1206 [SMD];10.396;-18.8469;90;Top;R13
114;;;35.7959;-43.2568;0;Bottom;Via15
115;;;10.9474;-44.2458;0;Bottom;Copper Fill226
116;;;20.5487;-1.63717;0;Bottom;Copper Fill212
117;;;52.2987;-51.7769;0;Bottom;Copper Fill160
118;;;43.3706;-1.86577;0;Bottom;Copper Fill130
119;;;38.0747;-51.7769;0;Bottom;Copper Fill155
120;;;62.4587;-1.71337;0;Bottom;Copper Fill125
121;;;34.4932;-26.7579;0;Bottom;Copper Fill113
122;;;64.9733;-26.834;0;Bottom;Copper Fill183
123;;;8.9916;-16.1406;0;Bottom;Copper Fill190
124;;jst-4-pth;20.696;-41.1768;-90;Bottom;JP1
125;;;46.5075;-8.83807;0;Bottom;Copper Fill228
126;;;15.2655;-44.7538;0;Bottom;Copper Fill217
127;;;52.7799;-29.8905;0;Bottom;TXT3
128;;;35.5347;-51.7769;0;Bottom;Copper Fill97
129;;;60.5283;-13.9181;0;Bottom;Copper Fill223
130;;;29.4387;-1.71337;0;Bottom;Copper Fill200
131;;;61.1959;-48.3368;0;Bottom;Via1
132;;;32.9947;-51.7769;0;Bottom;Copper Fill96
133;;;22.8347;-51.7769;0;Bottom;Copper Fill149
134;10k;1206 [SMD];40.8761;-13.7669;90;Top;R2
135;;jst-4-pth;30.576;-9.77667;90;Bottom;JP10
136;;;10.3505;-44.8681;0;Bottom;Copper Fill224
137;;;64.2875;-44.2458;0;Bottom;Copper Fill144
138;;;44.6787;-1.71337;0;Bottom;Copper Fill206
139;;;53.5759;-7.69686;0;Bottom;Via9
140;10k;1206 [SMD];12.936;-11.7868;-90;Top;R10
141;;;20.1169;-45.9857;0;Bottom;Copper Fill176
142;;;64.9733;-29.3741;0;Bottom;Copper Fill109
143;;;26.0605;-5.23127;0;Bottom;Copper Fill147
144;;;37.0587;-14.1594;0;Bottom;Copper Fill191
145;;;8.7376;-26.2498;0;Bottom;Copper Fill185
146;;jst-4-pth;5.45602;-28.4768;-90;Bottom;JP9
147;;;37.0587;-1.71337;0;Bottom;Copper Fill203
148;;;67.1577;-29.3486;0;Bottom;Copper Fill110
149;;;12.9032;-11.7972;0;Bottom;Copper Fill193
150;;;64.9733;-29.3741;0;Bottom;Copper Fill180
151;;;53.5306;-44.8681;0;Bottom;Copper Fill221
152;;;42.1387;-1.71337;0;Bottom;Copper Fill205
153;;jst-4-pth;30.856;-41.1768;-90;Bottom;JP3
154;;;30.4547;-51.7769;0;Bottom;Copper Fill95
155;;;61.1506;-43.8013;0;Bottom;Copper Fill229
156;;;35.0267;-49.1861;0;Bottom;Copper Fill166
157;;;44.6787;-1.71337;0;Bottom;Copper Fill120
158;;;62.4587;-51.7769;0;Bottom;Copper Fill106
159;;;67.1577;-26.8594;0;Bottom;Copper Fill184
160;;jst-4-pth;61.336;-41.1768;-90;Bottom;JP4
161;;;43.3706;-1.86577;0;Bottom;Copper Fill219
162;;;31.9787;-1.71337;0;Bottom;Copper Fill201
163;;;29.5149;-10.2478;0;Bottom;Copper Fill187
164;;;2.77601;-25.4769;0;Bottom;Via10
165;;jst-4-pth;63.596;-14.8567;90;Bottom;JP11
166;;;20.2947;-51.7769;0;Bottom;Copper Fill91
167;;;48.5141;-44.6141;0;Bottom;Copper Fill169
168;;;64.9733;-26.834;0;Bottom;Copper Fill111
169;;jst-4-pth;7.39602;-5.29668;180;Bottom;JP8
170;;;61.1506;-42.8107;0;Bottom;Copper Fill140
171;;;47.2187;-51.7769;0;Bottom;Copper Fill158
172;;;9.7282;-44.2458;0;Bottom;Copper Fill138
173;;;27.9147;-51.7769;0;Bottom;Copper Fill94
174;;;58.6741;-44.6141;0;Bottom;Copper Fill171
175;;;46.5075;-8.83807;0;Bottom;Copper Fill139
176;;;8.9916;-28.8406;0;Bottom;Copper Fill182
177;;;52.0047;-23.7041;0;Bottom;TXT5
178;;;29.7435;-46.6207;0;Bottom;Copper Fill165
179;10k;1206 [SMD];10.396;-24.4868;-90;Top;R12
180;;;57.3787;-1.71337;0;Bottom;Copper Fill209
181;;;40.8306;-32.3459;0;Bottom;Copper Fill214
182;;;22.098;-26.7579;0;Bottom;Copper Fill179
183;;;57.3787;-1.71337;0;Bottom;Copper Fill123
184;;;32.5883;-44.2458;0;Bottom;Copper Fill141
185;10k;1206 [SMD];35.7962;-6.70679;-90;Top;R4
186;;;54.8387;-51.7769;0;Bottom;Copper Fill161
187;;;62.4587;-51.7769;0;Bottom;Copper Fill164
188;;;30.4547;-51.7769;0;Bottom;Copper Fill152
189;;;66.1798;-24.8274;0;Bottom;Copper Fill131
190;;;9.7282;-44.2458;0;Bottom;Copper Fill225
191;;jst-4-pth;51.176;-41.1768;-90;Bottom;JP6
192;;;40.8306;-1.86577;0;Bottom;Copper Fill215
193;;jst-4-pth;5.45602;-15.7767;-90;Bottom;JP7
194;;;8.8138;-9.35877;0;Bottom;Copper Fill198
195;10k;1206 [SMD];17.0261;-2.61681;-2.54444e-14;Top;R6
196;10k;1206 [SMD];15.4762;-11.7868;-90;Top;R9
197;;;15.4759;-7.69686;0;Bottom;Via4
198;;;59.9187;-51.7769;0;Bottom;Copper Fill105
